1193				    1
1205				    1
1217				    1
1228				    1
1239				    1.2	
1247				    1.6	
1253				    1.6	
1259				    1.6	
1266				    1.6	
1272				    1.6	
1279				    1.6	
1286				    1.6	
1293				    1.6	
1299				    1.6	
1306				    1.6	
1312				    1.6	
1319				    1.6	
1326				    1.6	
1333				    1.6	
1340				    1.6	
1346				    1.6	
1353				    1.6	
1360				    1.6	
1367				    1.6	
1374				    1.6	
1380				    1.6	
1387				    1.6	
1393				    1.7	
1400				    1.7	
1407				    1.7	
1413				    1.7	
1421				    1.7	
1433				    1.8	
1444				    1.8	
1455				    2.0	
1466				    2.0	
1478				    2.0	
1489				    2.0	
1500				    2.0	
1511				    2.0	
1522				    2.0	
1534				    2.0	
1545				    2.0	
1556				    2.0	
1567				    2.0	
1579				    2.0	
1590				    2.0	
1601				    2.0	
1612				    2.0	
1623				    2.0	
1634				    2.0	
1645				    2.1	
1656				    2.1	
1667				    2.1	
1679				    2.1	
1690				    2.3	
1702				    2.5	
1713				    3.2	
1725				    3.2	
1736				    3.5	
1748				    3.5	
1759				    3.5	
1771				    3.5	
1782				    3.5	
1793				    3.5	
1806				    3.5	
1817				    3.5	
1828				    3.5	
1839				    3.5	
1850				    3.5	
1861				    4.0	
1872				    4.0	
1884				    4.4	
1894				    5.5	
1905				    5.5	
1917				    7.5	
1927				    7.6	
1938				    8.8	
1949				    8.8	
1961				    8.8	
1972				    8.8	
1983				    8.8	
1994				    8.8	
2005				    9.6	
2016				    10.2	
2027				    10.8	
2038				    13.0	
2049				    17.2	
2060				    22.5	
2071				    22.5	
2082				    22.5	
2093				    22.0	
2104				    22.3	
2115				    22.4	
2126				    22.4	
2137				    22.4	
2148				    22.4	
2159				    22.4	
2170				    22.4	
2181				    22.4	
2193				    22.4	
2204				    21.5	
2216				    26.6	
2227				    29.3	
2238				    31.4	
2250				    34.2	
2261				    34.0	
2271				    35.0	
2283				    38.5	
2294				    47.5	
2305				    47.5	
2316				    51.5	
2327				    56.5	
2338				    58.0	
2348				    58.3	
2359				    58.3	
2371				    58.3	
2382				    58.3	
