8970				    
8982				    2.8	
8993				    2.8	
9004				    2.8	
9016				    5.4	
9027				    5.4	
9038				    5.4	
9049				    6.9	
9060				    10.3	
9071				    10.3	
9082				    14.6	
9093				    15.7	
9104				    20.7	
9115				    25.4	
9127				    27.4	
9138				    29.9	
9149				    43.1	
9160				    47.5	
9172				    60.8	
9183				    65.6	
9195				    65.4	
9206				    59.8	
9218				    59.7	
9229				    73.5	
9240				    90.5	
9252				    87.8	
9264				    91.1	
9275				    94.0	
9286				    104.1	
9298				    110.9	
9309				    103.0	
