57				    
3935				    6.3	
3943				    6.3	
3952				    6.3	
3960				    6.3	
3968				    6.3	
3977				    6.3	
3986				    6.3	
3994				    6.3	
4002				    6.3	
4011				    4.9	
4019				    4.9	
4027				    1
4035				    1
4043				    1
4052				    1
