2896				    1
2908				    1
2919				    1
2930				    1
2942				    1
2954				    1
2965				    1
2976				    1
2988				    1.4	
2999				    1.8	
3010				    1.8	
3022				    1.8	
3033				    1.8	
3045				    1.8	
3056				    1.8	
3067				    5.6	
3078				    5.6	
3090				    5.6	
3101				    5.6	
3112				    5.6	
3124				    5.6	
3135				    5.6	
3146				    5.6	
3157				    5.6	
3169				    5.6	
3181				    5.6	
3192				    5.2	
3204				    5.0	
3215				    5.1	
3226				    5.9	
3238				    5.9	
3249				    5.9	
3261				    5.8	
3272				    5.8	
3283				    5.8	
3294				    6.6	
3306				    10.6	
3318				    12.6	
3330				    16.1	
3341				    16.1	
3349				    16.1	
3357				    16.8	
3365				    16.8	
3373				    16.8	
3381				    16.8	
3389				    16.8	
3397				    17.4	
3405				    18.4	
3413				    21.2	
3422				    25.2	
3430				    28.0	
3439				    29.9	
3447				    29.4	
3456				    29.2	
3464				    29.2	
3472				    29.2	
3480				    28.6	
3488				    28.6	
3496				    28.6	
3505				    28.6	
3513				    28.6	
3521				    27.4	
3529				    28.2	
3538				    28.2	
3546				    31.5	
3555				    34.8	
3566				    35.3	
3577				    38.0	
3588				    43.3	
3600				    46.0	
3611				    46.0	
3622				    46.0	
3633				    46.0	
3646				    42.9	
3657				    65.1	
3669				    72.5	
