0				    
2115				    36.5
2120				    35.8
2125				    34.9
2130				    34.6
2135				    34.1
2140				    34.3
2145				    33.8
2149				    33.4
2154				    33.0
2158				    32.9
2163				    24.9
2167				    24.5
2171				    23.5
2176				    22.1
2181				    24.4
2185				    23.7
2190				    22.1
2196				    20.0
2200				    18.7
2205				    17.3
2210				    16.3
2215				    15.3
2220				    15.2
2225				    14.9
2229				    14.0
2233				    13.1
2237				    12.9
2241				    12.9
2246				    12.0
2249				    11.9
2255				    25.0
2259				    26.2
2263				    27.4
2267				    27.7
2272				    27.7
2276				    28.8
2280				    29.1
2284				    29.6
2289				    29.8
2293				    31.6
2297				    32.1
2302				    32.1
2305				    35.7
2309				    43.3
2313				    68.8
2318				    68.8
2322				    68.8
2326				    82.0
2330				    86.7
2334				    91.6
2338				    92.1
2342				    91.3
2346				    91.3
2350				    91.3
2354				    87.8
2357				    87.8
2361				    87.8
2366				    80.9
2369				    80.9
2373				    80.9
2377				    71.7
2380				    69.5
2384				    66.1
2388				    63.8
2392				    61.9
2397				    61.9
2401				    60.9
2404				    58.2
2408				    56.7
2412				    56.7
2416				    54.1
2420				    52.8
2424				    52.4
2428				    52.4
2432				    52.4
2436				    52.4
2441				    52.4
2445				    52.4
2450				    52.4
2454				    52.4
2458				    50.5
2462				    44.4
2467				    41.6
2471				    41.6
2475				    41.6
2479				    41.6
2483				    42.9
2488				    44.1
2494				    46.8
2499				    46.8
2505				    49.2
2509				    49.5
2514				    49.3
2519				    49.9
2523				    53.0
2527				    53.1
2532				    52.8
2536				    52.9
2541				    52.2
2546				    50.3
2550				    50.3
2554				    50.3
2559				    50.8
2563				    50.8
2568				    50.8
2573				    50.8
2577				    50.8
2582				    50.2
2587				    50.2
2591				    51.8
2595				    53.0
2600				    54.5
2603				    55.7
2607				    57.2
2611				    57.2
2616				    58.9
2620				    57.9
2625				    57.2
2629				    56.0
2634				    54.3
2637				    52.3
2642				    52.3
2646				    52.3
2651				    51.8
2655				    49.2
2660				    48.8
2665				    48.3
2669				    48.3
2674				    49.4
2678				    49.5
2682				    49.5
2685				    49.0
2689				    48.6
2693				    50.6
2697				    50.6
2701				    50.7
2705				    51.5
2708				    53.3
2712				    53.3
2716				    54.6
2720				    55.7
2724				    56.1
2727				    55.0
2731				    55.0
2735				    55.0
2739				    54.5
2743				    53.9
2747				    53.9
2751				    53.5
2754				    52.9
2758				    52.3
2762				    52.3
2766				    51.2
2771				    51.2
2774				    51.2
2779				    52.5
2783				    52.9
2787				    52.5
2792				    52.5
2796				    52.0
2801				    55.5
2806				    55.4
2810				    55.2
2815				    55.2
2819				    55.0
2824				    53.7
2828				    51.5
2832				    56.2
2837				    56.2
2841				    56.2
2846				    55.6
2851				    55.2
2855				    54.1
2860				    52.9
2864				    55.6
2869				    55.5
2873				    54.7
2877				    54.7
2881				    53.9
2885				    52.0
2889				    51.2
2893				    51.4
2897				    51.4
2902				    51.9
2906				    53.3
2910				    53.7
2914				    55.5
2918				    55.5
2922				    54.8
2925				    53.3
2930				    53.9
2933				    56.6
2937				    56.6
2941				    55.4
2945				    54.7
2950				    53.5
2961				    52.6
2973				    51.7
2984				    51.1
2994				    49.7
3002				    49.8
3008				    49.8
3015				    49.0
3022				    48.6
3028				    48.6
3035				    47.7
3041				    48.3
3048				    48.3
3054				    50.2
3061				    50.6
3068				    52.4
3073				    53.5
3079				    53.1
3084				    52.2
3090				    52.3
3095				    51.9
3101				    51.9
3106				    50.9
3110				    51.1
3115				    53.0
3120				    53.7
3125				    54.5
3130				    55.9
3135				    56.3
3140				    56.3
3145				    56.3
3150				    55.7
