15089				    
15099				    2.9	
15110				    2.9	
15122				    2.9	
15132				    5.5	
15144				    5.5	
15155				    5.5	
15166				    6.8	
15176				    10.4	
15188				    10.4	
15199				    12.2	
15209				    14.5	
15220				    14.7	
15231				    19.9	
15242				    24.3	
15253				    29.3	
15263				    32.3	
15274				    34.8	
15285				    40.3	
15296				    48.4	
15306				    65.2	
15317				    72.1	
15329				    64.6	
15339				    67.8	
15350				    69.3	
15361				    72.8	
15373				    76.3	
15384				    102.3	
15395				    119.7	
15406				    110.7	
15416				    115.5	
15427				    111.4	
