2845				    1
2856				    1
2867				    1
2878				    1
2889				    1
2900				    1
2911				    1
2922				    1
2933				    1
2943				    1
2954				    1.9	
2965				    1.9	
2976				    1.9	
2987				    1.9	
2998				    1.9	
3009				    1.9	
3020				    1.9	
3031				    1.9	
3042				    1.9	
3053				    1.9	
3064				    2.0	
3075				    2.9	
3086				    3.5	
3098				    3.5	
3109				    3.5	
3120				    3.5	
3131				    3.5	
3142				    3.5	
3153				    3.5	
3164				    3.5	
3175				    3.5	
3185				    3.5	
3197				    6.0	
3208				    6.3	
3219				    6.3	
3230				    6.3	
3242				    6.3	
3251				    6.3	
3259				    6.3	
3265				    6.3	
3272				    6.3	
3278				    6.3	
3285				    6.3	
3291				    6.3	
3298				    6.3	
3305				    6.3	
3311				    6.3	
3318				    6.3	
3329				    6.3	
3340				    6.3	
3351				    6.3	
3362				    6.3	
3373				    7.2	
3384				    9.5	
3396				    9.5	
3406				    9.5	
3417				    9.5	
3428				    9.5	
3439				    9.5	
3450				    9.5	
3461				    9.5	
3472				    9.5	
3483				    9.5	
3494				    9.5	
3504				    11.5	
3515				    13.7	
3526				    18.2	
3537				    18.2	
3548				    18.2	
3559				    18.2	
3570				    18.2	
3581				    18.2	
3592				    18.2	
3603				    18.2	
3614				    18.2	
3625				    18.2	
3636				    18.2	
3647				    21.4	
3658				    22.7	
3669				    25.1	
3681				    27.6	
3692				    27.9	
3703				    30.7	
3715				    30.7	
3726				    30.7	
3737				    30.7	
3748				    30.7	
3759				    30.7	
3770				    30.7	
3781				    30.7	
3792				    30.7	
3803				    30.7	
3814				    30.7	
3825				    32.7	
3836				    32.1	
3847				    31.5	
3858				    30.4	
3869				    31.0	
3879				    30.6	
3890				    31.7	
3901				    33.3	
3912				    34.9	
3923				    34.1	
3935				    34.1	
