38756				    33.576
38768				    33.576
38779				    33.576
38790				    33.576
38801				    21.609
38812				    4.306
38823				    4.306
38835				    4.306
38846				    5.216
38858				    5.857
38869				    6.881
38880				    6.881
38891				    6.881
38902				    6.37
38913				    3.115
38925				    3.115
38936				    7.965
38947				    8.141
38958				    0.622
38970				    0.622
38981				    3.421
38992				    3.673
39003				    3.874
39014				    5.238
39025				    2.894
39036				    7.433
39047				    7.56
39059				    4.331
39071				    8.839
39082				    4.65
39093				    4.655
39104				    2.637
39116				    3.171
39127				    3.136
39138				    4.294
39149				    1.533
39160				    1.533
39171				    3.755
39182				    3.755
39193				    4.273
39204				    4.374
39215				    4.374
39227				    9.817
39238				    5.811
39249				    6.154
39260				    6.154
39272				    1.98
39283				    1.499
39294				    6.265
39306				    3.45
39317				    5.25
39328				    3.698
39339				    2.819
39350				    3.282
39361				    4.027
39372				    4.027
39383				    3.616
39394				    2.093
39406				    3.389
39417				    3.268
39429				    2.437
39440				    1.565
39451				    3.045
39462				    5.319
39474				    5.319
39485				    8.311
39496				    8.311
39507				    6.235
39519				    1.302
39530				    2.07
39543				    4.797
39554				    9.186
39565				    9.155
39576				    9.155
39587				    9.155
39599				    8.018
39610				    4.306
39621				    4.409
39633				    9.497
39644				    9.406
39655				    6.571
39666				    5.65
39677				    5.65
39689				    6.972
39700				    7.2
39711				    7.493
39723				    7.8
39734				    7.8
39745				    5.62
