21082				    1.3	
21094				    1.3	
21106				    1.3	
21117				    1.3	
21130				    1.3	
21141				    1.3	
21153				    1.3	
21165				    1.7	
21177				    1.9	
21189				    2.0	
21200				    2.0	
21212				    2.0	
21223				    2.0	
21235				    2.0	
21246				    2.0	
21258				    2.0	
21270				    2.9	
21281				    3.0	
21293				    3.6	
21305				    3.6	
21316				    3.6	
21328				    3.6	
21339				    3.6	
21350				    3.6	
21362				    3.6	
21373				    3.9	
21385				    5.0	
21396				    5.1	
21408				    6.2	
21419				    6.2	
21431				    6.2	
21443				    6.2	
21454				    6.2	
21466				    6.2	
21477				    6.2	
21488				    6.2	
21500				    6.2	
21512				    6.3	
21523				    6.2	
21535				    7.7	
21547				    7.7	
21558				    8.3	
21570				    8.3	
21581				    9.3	
21593				    9.4	
21604				    9.4	
21616				    9.4	
21627				    9.4	
21639				    9.4	
21651				    9.6	
21662				    9.6	
21674				    9.6	
21686				    10.9	
21697				    11.3	
21709				    11.8	
21720				    11.6	
21732				    12.5	
21743				    12.5	
21755				    12.7	
21767				    12.6	
21778				    12.6	
21790				    13.7	
21801				    13.7	
21812				    13.9	
21824				    13.9	
21835				    13.9	
21847				    13.9	
21859				    13.9	
21870				    13.9	
21882				    14.0	
21893				    14.0	
21904				    14.0	
21916				    14.8	
21927				    15.0	
21939				    15.0	
21951				    14.5	
21963				    15.8	
21974				    15.8	
21986				    16.1	
21997				    16.0	
22009				    16.0	
22020				    15.8	
22032				    15.8	
22043				    15.8	
22055				    17.1	
22066				    17.3	
22078				    17.4	
22089				    17.3	
22101				    17.4	
22113				    17.0	
22124				    16.7	
22136				    16.7	
22148				    16.6	
22159				    16.7	
22171				    16.7	
22183				    16.7	
22194				    16.4	
22206				    16.4	
22218				    16.4	
22230				    16.4	
22241				    16.4	
22253				    16.6	
22264				    16.6	
22276				    16.6	
22288				    16.7	
22299				    17.1	
22311				    17.1	
22323				    16.8	
22335				    17.5	
22347				    17.6	
22359				    17.8	
22371				    17.7	
22382				    17.5	
22394				    17.5	
22405				    17.3	
22417				    17.3	
22429				    17.2	
22440				    17.2	
22452				    17.3	
22463				    17.9	
22475				    18.1	
22486				    18.0	
22498				    18.0	
22510				    18.0	
22521				    18.0	
22533				    18.0	
22544				    18.0	
22556				    18.0	
22567				    18.0	
22579				    18.0	
22590				    18.0	
22602				    18.0	
22613				    18.0	
22625				    18.0	
22636				    18.0	
22648				    18.0	
22659				    18.0	
22671				    18.0	
22682				    data_segs_out:747	send
22694				    data_segs_out:747	send
22706				    data_segs_out:747	send
22718				    data_segs_out:747	send
22730				    data_segs_out:747	send
22741				    data_segs_out:747	send
22753				    data_segs_out:747	send
22764				    1
22776				    1
