13336				    
13344				    2.4	
13353				    2.4	
13361				    2.4	
13369				    2.4	
13378				    3.3	
13386				    5.0	
13395				    5.0	
13404				    5.0	
13415				    8.4	
13427				    10.4	
13438				    10.4	
13449				    12.6	
13460				    13.9	
13471				    20.2	
13482				    24.2	
13493				    31.0	
13504				    32.8	
13516				    31.5	
13527				    45.0	
13538				    48.4	
13549				    70.5	
13560				    75.9	
13572				    82.9	
13583				    81.4	
13596				    95.4	
13608				    105.5	
13620				    99.6	
13631				    107.9	
13642				    106.9	
13654				    119.8	
13665				    114.3	
