9110				    
9121				    2.9	
9132				    2.9	
9143				    2.9	
9154				    5.5	
9165				    5.5	
9176				    5.5	
9187				    9.4	
9198				    10.7	
9209				    10.7	
9220				    14.5	
9231				    16.7	
9242				    20.0	
9253				    26.4	
9264				    29.6	
9277				    43.3	
9287				    43.9	
9298				    44.8	
9310				    59.6	
9321				    59.5	
9332				    60.7	
9343				    77.1	
9354				    75.5	
9365				    73.3	
9376				    75.3	
9387				    80.0	
9398				    75.9	
9409				    65.1	
9420				    64.4	
9432				    67.4	
9443				    65.2	
9454				    65.6	
9466				    66.1	
9477				    64.9	
9488				    67.7	
