0				    
1665				    3.9
1669				    3.9
1673				    3.6
1677				    3.6
1682				    3.6
1686				    3.6
1690				    3.2
1694				    3.2
1699				    3.2
1703				    3.2
1708				    3.0
1712				    3.0
1716				    2.9
1721				    2.9
1724				    2.7
1729				    2.7
1733				    2.6
1737				    2.6
1742				    2.4
1746				    2.4
1750				    2.4
1755				    2.4
1759				    2.2
1764				    2.2
1768				    2.2
1772				    2.1
1776				    2.0
1780				    2.0
1784				    1.9
1788				    1.9
1793				    1.9
1797				    1.6
1801				    1.6
1806				    1.6
1810				    1.6
1814				    1.6
1819				    1.6
1823				    1.4
1827				    1.3
1832				    1
1836				    1
1841				    1
1845				    1
1849				    1
1853				    1
1857				    1
1862				    1
1866				    1
1870				    1
1875				    1
1879				    1
1883				    1
1888				    12.6
1892				    12.6
1896				    12.6
1900				    12.6
1904				    12.6
1908				    12.6
1912				    12.6
1917				    12.6
1921				    12.6
1925				    19.1
1930				    19.1
1934				    19.1
1938				    19.1
1942				    19.1
1947				    25.2
1951				    25.2
1955				    25.2
1959				    35.2
1964				    35.2
1968				    35.0
1972				    31.8
1976				    31.8
1980				    31.8
1984				    30.8
1988				    30.8
1993				    26.3
1997				    26.3
2002				    26.0
2006				    26.0
2010				    22.7
2014				    22.7
2019				    22.5
2023				    20.4
2027				    19.8
2031				    19.8
2035				    19.7
2039				    19.7
2043				    19.7
2048				    16.6
2052				    16.6
2056				    16.4
2060				    16.4
2064				    14.4
2069				    14.4
2073				    14.3
2077				    14.3
2081				    12.1
2085				    12.1
2089				    12.1
2093				    12.1
2097				    10.8
2101				    10.8
2106				    10.7
2110				    10.7
2114				    9.9
2118				    9.9
2122				    9.9
2126				    9.9
2130				    9.9
2134				    8.4
2138				    8.4
2142				    8.4
2147				    8.4
2151				    8.1
2155				    8.6
2159				    8.6
2163				    8.6
2168				    8.7
2172				    8.7
2176				    8.7
2180				    8.7
2184				    7.8
2188				    7.7
2193				    7.7
2197				    7.7
2201				    7.7
2206				    7.7
2210				    7.2
2214				    7.2
2218				    7.2
2223				    7.2
2227				    6.6
2231				    6.6
2235				    6.6
2239				    6.6
2244				    5.9
2248				    5.9
2252				    5.9
2257				    5.9
2261				    5.9
2265				    5.5
2270				    5.5
2274				    5.6
2279				    5.6
2283				    7.5
2287				    7.5
2292				    7.6
2296				    7.6
2300				    7.6
2304				    7.6
2308				    8.2
2312				    8.2
2316				    8.2
2320				    8.4
2324				    9.1
2328				    9.1
2332				    9.1
2336				    9.1
2341				    9.1
2345				    10.3
2349				    10.3
2353				    10.3
2357				    10.3
2362				    10.3
2366				    10.5
2370				    10.5
2374				    14.6
2378				    14.6
2381				    14.6
2386				    14.6
2390				    13.3
2394				    13.3
2398				    13.3
2402				    13.3
2406				    13.8
2410				    13.8
2414				    13.8
2418				    13.8
2422				    13.8
2426				    13.8
2429				    13.8
2433				    13.1
2437				    13.1
2441				    13.2
2445				    13.2
2449				    13.2
2453				    13.2
2458				    13.2
2462				    13.2
2466				    12.5
2470				    12.5
2474				    13.2
2478				    13.2
2482				    13.1
2486				    13.1
2490				    12.2
2494				    12.2
2499				    12.2
2503				    12.2
2506				    12.0
2511				    12.0
2515				    12.0
2519				    12.0
2523				    12.0
2528				    11.9
2532				    11.9
2536				    11.9
2541				    11.9
2545				    11.9
2549				    11.9
2554				    11.9
2558				    11.9
2562				    11.9
2566				    11.9
2570				    11.9
2574				    11.9
2579				    11.9
2583				    11.9
2587				    11.9
2592				    11.8
2596				    11.8
2600				    11.8
2605				    11.8
2608				    11.8
2612				    11.8
2616				    11.6
2621				    11.6
2625				    11.6
2629				    11.6
2633				    11.2
2638				    11.2
2642				    11.2
2646				    11.6
2651				    11.6
2655				    11.5
2658				    11.5
2663				    12.8
2667				    12.8
2671				    12.8
2676				    12.8
2680				    12.8
2684				    12.3
2688				    12.3
2692				    12.0
2696				    12.0
2700				    12.0
2704				    12.0
2708				    11.9
2712				    11.9
2716				    11.9
2720				    11.9
2723				    11.4
2727				    11.4
2731				    11.4
2735				    11.4
2739				    11.3
2743				    11.3
2748				    11.3
2752				    11.3
2755				    11.3
2759				    11.3
2763				    11.3
2767				    11.3
2771				    11.0
2775				    11.2
2779				    11.2
2783				    11.3
2786				    11.3
2790				    11.4
2794				    11.4
2798				    11.4
2802				    11.4
2806				    11.4
2810				    11.4
2814				    11.5
2818				    11.5
2822				    11.5
2827				    11.5
2831				    11.5
2834				    11.5
2839				    11.5
2843				    11.5
2847				    11.0
2852				    11.0
2856				    11.0
2860				    11.5
2865				    12.1
2869				    12.1
2872				    12.1
2877				    12.1
2881				    12.1
2886				    12.2
2890				    12.2
2894				    11.8
2898				    11.8
2903				    11.8
2907				    12.3
2911				    12.3
2915				    12.3
2919				    12.3
2923				    12.4
2927				    12.4
2932				    12.3
2935				    12.3
2940				    13.6
2944				    13.6
2949				    13.6
2953				    13.6
2957				    13.6
2962				    13.7
2965				    13.7
2970				    13.3
2974				    13.3
2978				    13.3
2982				    13.3
2986				    13.0
2990				    12.1
2994				    11.8
2998				    12.0
3001				    12.0
3005				    12.0
3010				    12.0
3013				    12.0
3018				    12.0
3021				    12.0
3026				    11.9
3030				    11.9
3034				    11.9
3038				    11.9
3043				    11.9
3047				    11.9
3051				    11.9
3056				    11.9
3060				    11.9
3064				    11.1
3069				    11.1
3073				    12.3
3078				    12.3
3082				    12.3
3086				    12.3
3091				    12.2
3095				    12.2
3099				    12.2
3104				    12.2
3108				    12.2
3113				    12.0
3117				    12.1
3121				    12.1
3126				    12.9
3129				    12.9
3133				    13.0
3138				    13.0
3141				    13.1
3145				    13.1
3149				    13.1
3153				    13.1
3157				    13.1
3161				    13.1
3165				    12.4
3169				    12.4
3173				    12.2
3177				    12.2
3182				    12.2
3186				    12.2
3190				    12.2
3195				    12.0
3199				    11.9
3203				    11.9
3207				    11.4
3211				    11.4
3216				    11.4
3220				    11.4
3225				    11.9
3229				    11.9
3232				    11.8
3236				    11.8
3240				    11.8
3245				    11.2
3249				    11.1
3253				    11.0
3257				    11.0
3261				    11.4
3265				    11.4
3269				    11.4
3273				    11.4
3278				    11.4
3282				    11.4
3286				    11.5
3290				    11.5
3294				    11.8
3298				    11.8
3302				    11.8
3307				    11.6
3311				    12.1
3316				    12.1
3320				    12.2
3324				    12.2
3328				    12.0
3333				    12.0
3337				    11.9
3341				    12.3
3345				    12.3
3350				    12.3
3354				    12.3
3358				    12.3
3362				    12.3
3366				    12.1
3370				    12.1
3374				    12.4
3378				    12.4
3382				    12.4
3386				    11.8
3391				    11.8
3395				    11.8
3399				    11.8
3403				    11.8
3407				    12.0
3411				    12.0
3415				    12.0
3419				    11.9
3424				    11.9
3428				    11.9
3432				    11.9
3435				    11.8
3439				    11.8
3443				    12.1
3447				    12.1
3451				    12.1
3455				    12.1
3459				    12.1
3463				    12.1
3467				    12.1
3471				    12.1
3475				    11.5
3479				    11.5
3483				    11.4
3487				    12.2
3491				    12.2
3495				    12.1
3498				    12.1
3502				    12.2
3506				    12.2
3510				    12.2
3514				    12.2
3517				    12.2
3521				    12.2
3525				    11.8
3530				    11.8
3534				    11.8
3538				    11.8
3542				    11.6
3546				    11.6
3550				    11.6
3555				    11.7
3559				    11.7
3564				    11.7
3568				    11.7
3573				    11.7
3577				    11.7
3581				    12.0
3585				    12.0
3589				    12.0
3593				    12.0
3597				    12.0
3601				    11.9
3605				    11.9
3610				    11.9
3614				    11.9
3618				    11.9
3623				    11.9
