8007				    1
8018				    1
8029				    1
8040				    1
8051				    1
8063				    1
8074				    1
8084				    1
8095				    1
8107				    1
8118				    1
8129				    1.4	
8140				    1.4	
8151				    1.6	
8162				    1.6	
8173				    1.6	
8184				    1.6	
8195				    1.6	
8206				    1.6	
8217				    1.6	
8228				    1.6	
8239				    1.6	
8250				    1.6	
8261				    1.6	
8272				    1.6	
8283				    1.6	
8294				    1.6	
8305				    2.1	
8316				    2.1	
8327				    2.2	
8338				    2.2	
8349				    2.3	
8360				    2.3	
8371				    2.3	
8382				    2.3	
8393				    2.3	
8404				    2.3	
8414				    2.3	
8425				    2.3	
8436				    2.3	
8447				    2.3	
8458				    2.3	
8469				    2.3	
8480				    2.7	
8491				    2.9	
8502				    2.9	
8513				    3.6	
8524				    3.6	
8535				    4.0	
8545				    4.0	
8556				    4.1	
8567				    4.1	
8579				    4.1	
8590				    4.1	
8601				    4.1	
8612				    4.1	
8623				    4.1	
8634				    4.1	
8645				    4.1	
8657				    4.1	
8668				    4.1	
8679				    4.1	
8690				    4.1	
8702				    4.4	
8713				    4.6	
8724				    4.9	
8735				    5.0	
8746				    5.1	
8757				    5.5	
8768				    5.7	
8779				    5.7	
8790				    5.8	
8801				    6.4	
8812				    6.8	
8823				    6.8	
8834				    6.8	
8845				    6.7	
8856				    6.7	
8867				    6.7	
8878				    6.7	
8889				    6.7	
8900				    6.7	
8911				    6.7	
8922				    6.7	
8933				    6.7	
8944				    6.9	
8955				    6.9	
8966				    6.9	
8977				    7.2	
8988				    7.3	
8999				    7.2	
9010				    7.6	
9021				    7.6	
9032				    7.8	
9043				    7.8	
9054				    8.4	
9065				    8.4	
9076				    8.6	
9087				    8.6	
9098				    9.4	
9109				    9.4	
9120				    9.4	
9131				    9.4	
9142				    9.9	
9153				    10.0	
9164				    10.2	
9175				    10.2	
9186				    10.2	
9197				    10.2	
9207				    10.2	
9219				    10.2	
9229				    10.2	
9240				    10.2	
9251				    10.2	
9262				    10.2	
9273				    10.2	
9284				    11.4	
9295				    11.7	
9306				    11.8	
9317				    12.3	
9328				    12.3	
9339				    12.6	
9350				    12.7	
9361				    12.7	
9372				    13.4	
9383				    13.6	
9395				    13.7	
9406				    13.7	
9417				    13.7	
9428				    14.1	
9439				    14.1	
9450				    14.1	
9461				    14.0	
9472				    14.7	
9483				    14.7	
9495				    14.7	
9505				    14.6	
9516				    15.1	
9528				    15.1	
9539				    15.4	
9549				    15.4	
9560				    15.3	
9571				    15.3	
9583				    15.3	
9594				    15.3	
9605				    15.4	
9616				    15.5	
9627				    15.5	
9637				    15.5	
9648				    15.3	
9660				    15.3	
9670				    15.3	
9681				    15.3	
9692				    15.5	
9704				    16.5	
9715				    16.5	
9726				    16.3	
9736				    16.2	
9748				    16.2	
9758				    16.0	
9770				    16.0	
9781				    15.7	
9792				    15.8	
9803				    15.8	
9813				    15.7	
9824				    15.7	
9835				    16.1	
9847				    16.1	
9858				    1
9868				    1
9879				    1
9890				    1
9901				    1
9912				    1
9923				    1
9934				    1
9945				    1
9956				    1
9968				    1
9979				    1
9990				    1
10002				    1
10012				    1
10024				    1
10035				    8.8
10046				    8.8
10057				    8.8
