25293				    1
25304				    1
25316				    1
25327				    1
25338				    1
25349				    1
25360				    1
25371				    1
25382				    1
25393				    1.1	
25404				    1.9	
25415				    1.9	
25426				    1.9	
25437				    1.9	
25448				    1.9	
25459				    1.9	
25471				    1.9	
25482				    1.9	
25493				    1.9	
25504				    2.0	
25515				    3.6	
25526				    3.6	
25536				    3.6	
25547				    3.6	
25558				    3.6	
25570				    3.6	
25580				    3.6	
25592				    3.6	
25603				    3.6	
25614				    4.0	
25625				    4.0	
25636				    4.5	
25647				    4.9	
25658				    5.9	
25669				    5.9	
25680				    5.9	
25692				    5.9	
25703				    5.9	
25714				    5.9	
25725				    5.9	
25736				    5.9	
25747				    6.2	
25758				    6.2	
25769				    7.2	
25780				    8.4	
25792				    8.4	
25802				    9.0	
25813				    9.4	
25824				    9.4	
25835				    9.7	
25846				    9.7	
25857				    9.7	
25868				    9.7	
25879				    9.7	
25890				    9.7	
25901				    9.7	
25912				    10.0	
25923				    10.3	
25934				    11.1	
25944				    11.2	
25955				    11.6	
25966				    11.6	
25977				    11.5	
25988				    11.4	
25999				    12.3	
26010				    12.9	
26021				    13.0	
26032				    13.6	
26043				    14.1	
26054				    14.1	
26065				    14.1	
26076				    14.1	
26088				    14.1	
26099				    14.1	
26109				    14.1	
26120				    14.9	
26133				    15.0	
26143				    15.0	
26154				    15.0	
26165				    14.7	
26176				    14.4	
26187				    14.4	
26198				    14.3	
26209				    14.7	
26220				    14.7	
26231				    14.5	
26242				    14.1	
26253				    14.1	
26264				    14.1	
26275				    14.1	
26287				    14.2	
26298				    14.3	
26309				    14.3	
26320				    14.4	
26331				    14.3	
26343				    14.0	
26354				    14.7	
26365				    14.7	
26376				    14.7	
26387				    14.5	
26398				    15.8	
26409				    15.8	
26420				    15.9	
26431				    15.8	
26442				    15.8	
26452				    15.8	
26463				    15.8	
26474				    15.8	
26485				    16.1	
26496				    16.2	
26507				    16.2	
26518				    16.8	
26529				    17.2	
26540				    17.2	
26551				    17.2	
26562				    17.3	
26573				    17.3	
26584				    17.8	
26596				    17.8	
26607				    17.9	
26618				    17.9	
26629				    17.8	
26640				    18.4	
26651				    19.2	
26662				    19.2	
26673				    19.0	
26684				    19.5	
26695				    19.5	
26706				    19.5	
26716				    19.5	
