17084				    1
17095				    1
17106				    1
17117				    1
17128				    1
17139				    1
17149				    1
17160				    1
17171				    1
17182				    1
17193				    1.2	
17204				    1.2	
17215				    1.5	
17226				    1.5	
17237				    1.5	
17248				    1.5	
17259				    1.5	
17270				    1.5	
17281				    1.5	
17292				    1.5	
17303				    1.5	
17314				    1.5	
17325				    1.7	
17336				    1.7	
17346				    2.5	
17357				    2.6	
17368				    2.7	
17379				    2.7	
17390				    2.7	
17401				    2.7	
17412				    2.7	
17423				    2.7	
17434				    2.7	
17445				    2.7	
17456				    2.7	
17467				    2.7	
17479				    3.3	
17490				    3.7	
17500				    3.8	
17511				    4.2	
17522				    4.2	
17533				    4.6	
17544				    4.6	
17555				    4.6	
17566				    4.6	
17577				    4.6	
17588				    4.6	
17599				    4.6	
17610				    4.6	
17621				    4.6	
17632				    4.9	
17643				    5.2	
17654				    5.6	
17665				    6.7	
17676				    7.0	
17687				    7.8	
17697				    8.8	
17708				    8.8	
17719				    8.9	
17730				    8.9	
17741				    8.9	
17752				    8.9	
17763				    8.7	
17774				    8.7	
17784				    9.0	
17795				    9.4	
17806				    9.5	
17817				    11.1	
17829				    11.1	
17840				    11.7	
17851				    11.6	
17861				    11.6	
17872				    11.1	
17883				    11.7	
17894				    11.7	
17905				    11.9	
17916				    12.0	
17927				    12.5	
17937				    12.5	
17948				    12.5	
17959				    12.4	
17970				    12.4	
17981				    12.4	
17992				    12.4	
18003				    12.4	
18014				    12.4	
18024				    12.4	
18035				    12.3	
18046				    12.3	
18057				    12.3	
18068				    12.3	
18079				    11.7	
18090				    11.7	
18101				    11.7	
18112				    11.6	
18123				    11.6	
18134				    11.6	
18145				    11.4	
18156				    11.4	
18166				    11.4	
18177				    11.4	
18188				    11.4	
18199				    11.6	
18210				    11.7	
18221				    11.7	
18232				    12.0	
18243				    12.1	
18254				    12.4	
18265				    12.4	
18276				    12.6	
18286				    12.6	
18297				    12.9	
18308				    12.9	
18319				    12.9	
18330				    13.0	
18341				    13.1	
18352				    13.1	
18363				    13.3	
18374				    13.2	
18385				    13.9	
18396				    13.9	
18407				    13.9	
18418				    13.9	
18429				    13.9	
18440				    13.9	
18451				    13.9	
18462				    13.6	
18473				    14.1	
18484				    14.1	
18495				    14.1	
18506				    14.1	
18517				    14.4	
18528				    14.8	
18539				    14.8	
18550				    15.3	
18561				    15.3	
18572				    15.2	
18583				    15.2	
18594				    15.8	
18604				    15.9	
18615				    15.8	
18626				    15.8	
18637				    15.9	
18648				    15.9	
18659				    15.9	
18670				    16.1	
18681				    16.0	
18692				    16.1	
18703				    15.9	
18714				    15.9	
18725				    15.9	
18736				    15.9	
18746				    16.2	
18757				    16.2	
18768				    16.2	
18779				    16.2	
18790				    16.2	
