0				    67.449
11				    67.449
22				    67.449
34				    67.449
45				    62.44
57				    60.533
68				    60.533
80				    60.533
91				    60.533
102				    60.394
113				    51.356
124				    50.617
136				    50.502
147				    48.023
159				    46.151
170				    48.799
181				    52.708
192				    46.355
204				    46.99
215				    46.886
226				    48.146
238				    48.146
249				    57.689
260				    56.28
272				    62.308
283				    73.487
294				    73.487
305				    74.923
316				    77.379
327				    81.126
339				    87.007
350				    94.213
361				    102.469
373				    101.003
385				    103.447
396				    108.942
407				    111.165
418				    120.016
429				    127.665
440				    127.665
452				    134.127
463				    130.252
474				    130.252
485				    132.557
497				    131.771
508				    133.35
520				    129.468
531				    126.103
542				    126.159
553				    129.188
564				    132.613
576				    133.902
587				    129.588
598				    129.588
609				    131.14
621				    128.385
632				    129.002
644				    136.498
655				    138.485
666				    142.589
678				    144.279
689				    151.579
701				    153.162
712				    153.677
723				    153.677
736				    155.028
747				    158.029
758				    156.772
769				    156.986
780				    161.214
791				    160.796
802				    160.796
813				    162.327
824				    163.808
836				    161.198
847				    161.724
858				    162.922
869				    166.061
881				    167.905
892				    176.846
903				    176.846
914				    176.358
925				    174.513
937				    172.214
948				    172.124
959				    172.329
971				    173.638
982				    175.43
993				    175.628
1005				    174.269
1016				    172.278
1027				    172.278
1038				    166.984
1050				    152.106
1061				    149.612
1072				    145.079
1083				    134.479
1095				    134.479
1106				    134.479
1117				    131.39
1128				    128.588
1140				    128.588
1151				    128.284
1162				    128.284
1174				    131.377
1185				    131.712
1196				    132.036
1208				    134.053
1219				    137.56
1230				    136.942
1241				    139.232
1252				    139.232
1264				    149.292
1275				    149.292
1286				    165.562
1297				    172.951
1309				    177.71
1320				    177.71
1331				    180.852
1343				    180.852
1354				    181.863
1365				    183.73
1376				    188.256
1387				    190.1
1398				    192.335
1409				    192.335
1421				    192.335
1432				    196.162
1443				    209.47
1454				    209.47
1466				    224.902
1477				    224.902
1488				    232.901
1500				    244.669
1511				    244.669
1522				    244.687
1534				    244.687
1545				    250.379
1556				    253.214
1568				    253.214
1579				    259.579
1590				    262.143
1601				    262.143
1612				    265.985
1624				    265.985
1635				    267.856
1646				    267.856
1657				    272.986
1668				    276.992
1680				    276.992
1691				    279.002
1703				    279.002
1714				    279.002
1725				    280.82
1737				    282.48
1748				    283.039
1759				    283.039
1770				    293.511
1782				    293.511
1793				    293.511
1804				    300.269
1816				    300.269
1827				    306.777
1838				    310.876
1849				    310.876
1860				    311.438
1872				    314.809
1883				    314.809
1894				    318.233
1906				    320.99
1917				    326.343
1929				    326.343
1940				    326.343
1951				    335.966
1963				    335.966
1974				    336.226
1986				    336.226
1997				    336.226
2008				    341.221
2020				    339.763
2031				    339.763
2042				    339.763
2054				    338.154
2065				    338.869
2077				    338.39
2088				    335.629
2100				    335.629
2111				    335.329
2123				    332.253
2134				    332.253
2145				    330.099
2157				    330.099
2168				    331.875
2179				    331.743
2190				    332.019
2202				    333.303
2213				    333.303
2224				    333.303
2235				    336.753
2247				    336.753
2259				    339.461
2270				    335.85
2281				    334.254
2293				    334.254
2304				    322.971
2317				    322.971
2328				    320.324
2339				    271.418
2350				    260.524
2361				    228.947
2373				    206.365
2384				    188.594
2395				    151.03
2406				    138.67
2418				    130.414
2429				    91.785
2441				    91.785
2452				    86.734
2463				    86.682
2475				    82.612
2487				    82.087
2498				    79.972
2509				    80.731
2520				    81.065
2531				    79.516
2542				    68.736
2553				    67.969
2564				    66.081
2576				    66.081
2587				    61.315
2598				    61.315
2609				    61.592
2620				    60.82
2631				    58.617
2642				    59.271
2653				    59.271
2665				    64.644
2676				    64.644
2687				    71.065
2698				    72.309
2709				    73.423
2720				    73.423
2731				    76.774
2743				    76.774
2754				    83.529
2765				    85.6
2776				    86.01
2787				    84.395
2799				    83.109
2810				    83.109
2822				    86.463
2833				    86.463
2844				    96.243
2856				    100.23
2867				    100.23
2878				    109.471
2890				    110.652
2901				    113.267
2912				    113.267
2924				    123.161
2935				    123.161
2947				    127.05
2958				    131.114
2969				    132.456
2980				    132.999
2992				    136.852
3003				    136.852
3014				    143.743
3026				    149.923
3037				    156.388
3048				    160.115
3059				    161.718
3071				    167.244
3082				    175.178
3093				    181.152
3104				    191.027
3115				    194.001
3127				    196.692
3138				    201.433
3149				    208.104
3161				    208.104
3172				    208.104
3183				    213.208
3195				    217.451
3206				    217.451
3218				    220.026
3229				    222.701
3241				    222.875
3252				    224.041
3265				    225.399
3276				    226.588
3288				    227.835
3299				    227.835
3310				    226.448
3322				    227.951
3333				    225.716
3345				    220.161
3356				    220.161
3368				    216.939
3378				    216.939
3389				    212.79
3401				    212.79
3412				    213.032
3423				    210.974
3434				    210.974
3445				    212.457
3457				    210.52
3468				    209.459
3479				    206.912
3491				    206.912
3502				    200.74
3514				    200.74
3525				    199.694
3536				    199.694
3547				    202.717
3558				    207.513
3569				    207.513
3580				    205.798
3591				    202.08
3603				    195.59
3615				    186.16
3626				    184.367
3637				    183.369
3649				    176.883
3660				    176.883
3672				    172.891
3683				    173.134
3695				    173.134
3707				    173.134
3718				    176.399
3730				    176.399
3741				    177.71
3753				    178.529
3764				    181.312
3775				    182.864
3787				    186.709
3798				    186.709
3809				    186.709
3821				    199.805
3832				    200.287
3843				    200.287
3854				    200.623
3865				    202.005
3877				    202.005
3888				    202.395
3899				    193.853
3910				    188.592
3922				    188.257
3933				    188.257
3944				    188.257
3955				    195.422
3967				    193.665
3977				    193.815
3984				    194.626
3990				    194.626
3996				    182.19
4001				    182.19
4007				    182.19
4013				    182.862
4019				    182.862
4024				    180.011
