10402				    1
10413				    1
10424				    1
10435				    1
10446				    1
10457				    1
10468				    1.5	
10478				    1.5	
10489				    1.5	
10500				    1.5	
10511				    1.5	
10522				    4.4	
10533				    4.5	
10544				    4.7	
10554				    4.7	
10565				    5.4	
10576				    9.9	
10587				    9.9	
10598				    9.5	
10609				    14.3	
10620				    16.6	
10631				    16.6	
10642				    16.0	
10653				    15.4	
10663				    15.3	
10674				    16.6	
10685				    16.6	
10696				    16.4	
10707				    16.0	
10718				    16.0	
10729				    16.2	
10740				    17.0	
10750				    16.2	
10761				    16.6	
10772				    16.3	
10783				    16.3	
10794				    16.0	
10805				    15.2	
10816				    15.2	
10827				    15.5	
10838				    15.6	
10849				    15.6	
10859				    15.2	
10870				    15.9	
10881				    15.9	
10892				    15.8	
10902				    15.8	
10914				    15.9	
10925				    15.8	
10935				    15.6	
10946				    15.6	
10957				    16.0	
10968				    15.9	
10979				    15.9	
10989				    15.7	
11001				    16.4	
11011				    16.4	
11022				    16.4	
11033				    17.4	
11044				    17.4	
11055				    17.4	
11066				    17.3	
11077				    17.3	
11088				    17.9	
11099				    18.9	
11110				    18.9	
11121				    19.1	
11132				    19.0	
11143				    18.8	
11153				    18.7	
11164				    18.4	
11175				    18.3	
11186				    18.5	
11196				    18.6	
11207				    18.7	
11218				    18.5	
11229				    18.4	
11240				    18.0	
11250				    18.2	
11261				    18.2	
11272				    18.7	
11283				    18.5	
11294				    19.1	
11305				    19.1	
11316				    19.1	
11327				    19.2	
11338				    20.3	
11349				    20.3	
11360				    20.0	
11371				    20.1	
11382				    19.9	
11393				    20.4	
11404				    20.3	
11415				    20.3	
11426				    19.8	
11437				    20.8	
11447				    21.1	
11458				    21.2	
