24986				    1
24997				    1
25008				    1
25019				    1
25030				    1.0	
25041				    1.0	
25053				    2.3	
25063				    2.3	
25074				    2.3	
25085				    2.3	
25096				    5.2	
25107				    6.8	
25118				    6.8	
25129				    8.2	
25140				    9.5	
25151				    11.8	
25163				    11.8	
25174				    15.5	
25185				    20.9	
25196				    20.9	
25207				    20.9	
25218				    20.5	
25229				    21.1	
25239				    23.4	
25250				    26.2	
25261				    26.2	
25272				    24.7	
25283				    36.5	
25295				    35.3	
25306				    31.6	
25316				    31.2	
25327				    30.5	
25338				    30.0	
25349				    29.6	
25360				    28.4	
25371				    28.4	
25382				    27.9	
25393				    27.9	
25404				    29.3	
25415				    29.3	
25426				    29.3	
25437				    26.9	
25448				    26.9	
25459				    27.8	
25470				    28.6	
25481				    28.6	
25492				    28.1	
25503				    27.8	
25514				    28.2	
25526				    28.2	
25536				    28.3	
25547				    28.2	
25558				    29.6	
25569				    29.9	
25580				    29.9	
25591				    29.7	
25602				    28.9	
25613				    28.8	
25624				    28.1	
25635				    27.6	
25646				    27.6	
25657				    27.6	
25669				    28.9	
25679				    28.9	
25690				    28.5	
25701				    28.5	
25712				    27.8	
25723				    29.0	
25734				    29.0	
25746				    29.0	
