0				    2.7	
8				    2.7	
17				    2.7	
25				    2.7	
33				    2.7	
41				    2.7	
49				    3.3
57				    4.4
65				    4.4
73				    4.4
82				    5.7
90				    6.4
98				    6.8
106				    7.4
114				    8.2
122				    9.2
130				    9.6
138				    10.8
147				    10.8
155				    10.8
163				    10.8
171				    10.8
179				    8.7
187				    15.1
196				    15.1
204				    15.1
212				    18.4
220				    21.6
228				    21.6
236				    20.6
244				    19.4
252				    18.6
260				    18.5
268				    19.4
276				    21.7
284				    23.0
292				    24.5
300				    25.2
308				    30.6
316				    31.4
325				    30.6
333				    28.2
341				    27.4
349				    26.0
357				    24.1
365				    22.5
373				    21.0
382				    20.6
390				    19.9
398				    19.5
405				    18.9
413				    17.6
421				    16.9
429				    15.7
437				    15.4
445				    15.2
453				    15.1
461				    14.7
469				    14.7
477				    14.6
485				    14.7
494				    14.8
502				    14.3
509				    14.9
517				    14.6
525				    14.1
533				    13.9
541				    14.0
549				    14.3
557				    13.9
566				    13.6
574				    13.6
582				    13.6
590				    13.7
598				    13.9
607				    13.8
615				    13.8
623				    14.1
631				    14.1
639				    14.3
647				    14.7
655				    14.9
663				    15.1
671				    11.3
679				    11.8
687				    11.8
695				    11.6
