10817				    
10829				    3.0	
10841				    3.0	
10852				    3.0	
10864				    4.0	
10876				    5.1	
10887				    5.1	
10899				    5.1	
10911				    7.8	
10922				    8.8	
10934				    8.8	
10945				    10.8	
10957				    13.8	
10969				    19.0	
10981				    19.3	
10992				    26.1	
11004				    32.3	
11016				    31.0	
11028				    46.8	
11039				    61.0	
11051				    68.0	
11062				    68.5	
11074				    62.9	
11085				    67.8	
11097				    67.4	
11109				    76.3	
11120				    71.1	
11132				    119.2	
11143				    114.8	
11156				    113.1	
11168				    116.3	
11179				    114.4	
11191				    110.3	
