0				    1
4293				    93.5
4298				    92.1
4303				    92.1
4307				    78.6
4312				    78.6
4317				    75.5
4321				    75.5
4326				    72.0
4330				    68.6
4335				    68.3
4340				    67.8
4344				    67.8
4349				    63.7
4354				    63.7
4358				    59.0
4363				    59.0
4368				    59.0
4373				    59.0
4379				    59.0
4385				    53.4
4391				    49.4
4398				    49.4
4405				    49.0
4411				    49.0
4419				    44.8
4427				    44.8
4434				    41.3
4442				    40.0
4449				    40.0
4457				    37.8
4465				    37.8
4472				    35.8
4480				    34.3
4488				    32.8
4495				    32.8
4503				    30.8
4511				    30.6
4518				    28.5
4526				    27.8
4534				    27.7
4541				    27.6
4549				    26.2
4557				    26.1
4564				    24.5
4572				    23.8
4580				    23.6
4587				    22.7
4595				    22.7
4602				    22.4
4610				    21.6
4618				    21.6
4625				    20.5
4633				    20.0
4641				    20.0
4648				    19.2
4656				    18.8
4664				    18.6
4671				    17.8
4679				    17.7
4686				    17.1
4694				    23.5
4702				    16.6
4709				    16.5
4717				    16.1
4725				    15.7
4732				    15.7
4740				    15.3
4748				    15.0
4755				    14.6
4763				    14.3
4771				    14.2
4778				    13.8
4786				    13.6
4794				    13.6
4802				    13.2
4810				    12.6
4819				    12.6
4830				    12.5
4841				    11.7
4853				    11.5
4864				    11.2
4875				    11.0
4886				    10.6
4897				    10.5
4908				    8.4
4919				    7.7
4930				    7.7
4941				    7.7
4953				    7.0
4964				    6.5
4975				    6.5
4986				    6.2
4997				    5.7
5008				    5.6
5020				    5.4
5031				    5.0
5043				    4.8
5054				    4.8
5065				    4.4
5076				    4.4
5087				    4.1
5098				    4.1
5110				    3.5
5121				    3.5
5132				    3.4
5143				    2.8
5155				    2.7
5167				    2.6
5178				    2.5
5189				    2.3
5200				    2.2
5211				    2.2
5222				    2.1
5233				    2.1
5244				    2.0
5255				    2.0
5266				    1.8
5277				    1.8
5288				    1.8
5301				    1.7
5312				    1.7
5323				    1.6
5335				    1.6
5346				    1.5
5357				    1.4
5369				    1.4
5379				    1.2
5392				    1.2
5403				    1.0
5414				    1.0
5425				    1.0
5436				    1.0
5448				    6.2
5459				    6.2
5469				    6.2
5480				    9.1
5492				    14.8
5503				    17.7
5514				    18.6
5525				    25.1
5536				    28.8
5547				    28.9
5558				    32.4
5569				    38.8
5580				    38.8
5591				    38.7
5602				    35.5
5612				    35.2
5623				    33.0
5635				    29.5
5645				    27.4
5656				    26.7
5668				    24.5
5679				    22.8
5690				    22.5
5700				    20.7
5712				    20.5
5723				    18.6
5734				    18.6
5745				    16.5
5755				    16.4
5766				    16.4
5777				    15.2
5788				    13.8
5799				    13.4
5810				    12.8
5821				    12.2
5832				    11.8
5843				    11.8
5854				    11.5
5866				    10.8
5876				    10.1
5887				    10.1
5898				    9.7
5909				    9.6
5920				    9.1
5931				    8.8
5942				    8.6
5953				    8.6
5964				    8.1
5976				    7.8
5987				    7.6
5999				    7.1
6010				    7.1
6020				    6.6
6032				    6.5
6042				    6.1
6053				    6.1
6064				    5.9
6076				    5.4
6087				    5.3
6097				    5.3
6108				    5.3
6119				    5.3
6131				    5.2
6142				    5.2
6153				    5.1
6163				    4.8
6175				    4.6
6186				    4.8
6197				    4.8
6208				    4.8
6219				    4.9
6230				    5.1
6241				    5.1
6252				    5.2
6263				    5.6
6273				    5.8
6284				    5.8
6295				    5.8
6306				    6.0
6317				    6.1
6328				    6.1
6339				    6.1
6350				    6.4
6361				    6.4
6372				    6.5
6383				    6.5
6394				    6.5
6405				    6.7
6416				    6.7
6428				    6.9
6439				    7.0
6450				    7.0
6461				    7.4
6472				    7.5
6483				    7.5
6494				    7.5
6505				    7.5
6516				    7.5
6527				    7.5
6538				    7.5
6549				    7.5
6560				    7.5
6571				    7.5
6582				    7.4
6594				    7.4
6605				    7.4
6616				    7.4
6627				    7.4
6638				    7.4
6649				    7.6
6659				    7.6
6671				    7.6
6682				    7.5
6693				    7.6
6704				    7.6
6714				    7.6
6726				    7.6
6737				    7.6
6748				    7.6
6759				    7.6
6770				    7.6
6781				    7.4
6792				    7.3
6803				    7.3
6814				    7.3
6826				    7.2
6837				    7.2
6848				    7.2
6859				    7.1
6870				    7.1
6881				    7.1
6892				    6.9
6903				    6.8
6914				    6.8
6925				    6.4
6936				    6.3
6947				    6.2
6958				    6.2
6969				    6.2
6980				    6.1
6991				    6.1
7002				    6.6
7013				    6.8
7024				    6.9
7035				    7.4
7046				    7.4
7057				    7.4
7068				    7.4
7079				    7.4
7090				    7.6
7101				    7.6
7112				    7.5
7123				    7.9
7134				    8.1
7145				    8.3
7156				    9.9
7167				    9.9
7178				    12.1
7189				    12.1
7200				    13.0
7211				    13.0
7222				    13.5
7233				    14.1
7244				    14.1
7255				    14.0
7266				    14.2
7278				    14.2
7289				    14.0
7300				    14.0
7311				    13.7
7322				    13.8
7333				    13.8
7344				    13.8
7355				    13.6
7366				    13.9
7376				    13.9
7387				    13.9
7398				    14.3
7409				    14.2
7420				    13.9
7431				    13.9
7442				    13.9
7453				    13.9
7464				    13.9
7475				    14.0
7486				    14.0
7497				    13.9
7508				    13.9
7519				    13.7
7530				    13.9
7541				    13.9
7552				    13.9
7563				    13.4
7574				    14.3
7585				    14.3
7596				    13.8
7607				    13.8
7618				    13.7
7629				    13.7
7641				    13.7
7652				    13.5
7663				    13.5
7674				    13.6
7685				    13.6
7696				    13.6
7707				    13.2
7718				    13.2
7729				    12.9
7740				    13.4
7751				    13.3
7762				    13.3
7773				    13.0
7784				    13.3
7795				    13.5
7806				    13.6
7817				    13.5
7828				    13.5
7839				    13.0
7850				    12.3
7861				    12.3
7872				    12.0
7883				    12.0
7894				    12.0
7905				    12.0
7916				    12.0
7927				    11.3
7938				    11.2
7949				    11.2
7960				    11.1
7971				    11.3
7982				    11.4
7993				    11.4
8004				    11.3
8015				    11.1
8026				    11.1
8037				    11.1
8048				    11.1
