4227				    1
4239				    1
4250				    1
4262				    1
4273				    1
4284				    1
4296				    1
4307				    1
4319				    1
4330				    1
4342				    1.5	
4353				    1.8	
4364				    1.8	
4376				    1.8	
4387				    1.8	
4399				    1.8	
4410				    1.8	
4422				    1.8	
4433				    1.8	
4445				    1.8	
4456				    1.8	
4468				    3.5	
4480				    3.6	
4491				    3.6	
4503				    3.6	
4514				    3.6	
4526				    3.6	
4537				    3.6	
4547				    3.6	
4555				    3.6	
4563				    3.6	
4572				    3.6	
4580				    3.6	
4588				    3.7	
4597				    4.4	
4606				    6.5	
4614				    6.6	
4623				    6.6	
4631				    6.6	
4639				    6.6	
4648				    6.6	
4656				    6.6	
4664				    6.6	
4673				    6.6	
4681				    6.6	
4689				    6.6	
4697				    6.6	
4706				    7.9	
4714				    8.8	
4723				    10.7	
4731				    13.8	
4740				    14.1	
4748				    14.1	
4756				    14.1	
4765				    14.1	
4773				    14.1	
4781				    14.1	
4790				    14.1	
4798				    14.1	
4807				    14.1	
4815				    14.1	
4824				    14.1	
4832				    14.1	
4841				    14.1	
4849				    14.1	
4857				    14.1	
4866				    20.6	
4874				    23.7	
4884				    23.6	
4895				    24.1	
4906				    24.1	
4918				    24.1	
4929				    24.1	
4940				    24.1	
4952				    24.1	
4963				    24.1	
4975				    27.9	
4986				    31.7	
4998				    32.2	
5009				    32.0	
5021				    33.1	
5032				    32.2	
5043				    34.1	
5055				    33.9	
5066				    33.4	
5078				    34.7	
5089				    34.7	
5100				    34.7	
5111				    34.7	
5123				    34.7	
5134				    34.7	
5145				    36.1	
5157				    39.5	
5168				    38.3	
5180				    37.2	
5191				    37.2	
5203				    38.3	
5214				    37.6	
5226				    37.0	
5237				    36.5	
