27089				    1
27100				    1
27111				    1
27122				    1
27134				    1
27145				    1
27156				    1
27167				    1
27179				    1.2	
27190				    1.6	
27201				    2.1	
27212				    2.1	
27223				    2.1	
27234				    2.1	
27246				    2.1	
27257				    2.2	
27268				    2.2	
27279				    3.7	
27290				    3.8	
27301				    4.1	
27313				    4.1	
27324				    4.1	
27335				    4.1	
27346				    4.3	
27357				    4.9	
27368				    5.2	
27380				    5.6	
27391				    6.1	
27402				    6.3	
27413				    6.6	
27424				    6.8	
27435				    6.8	
27447				    6.8	
27458				    6.8	
27469				    6.9	
27480				    7.1	
27492				    7.1	
27503				    7.7	
27514				    8.2	
27525				    8.2	
27536				    8.1	
27547				    8.6	
27559				    8.7	
27570				    8.7	
27581				    8.9	
27592				    8.9	
27603				    8.9	
27615				    9.0	
27626				    9.0	
27637				    9.0	
27648				    9.0	
27659				    9.1	
27671				    9.2	
27682				    9.4	
27693				    9.4	
27704				    9.5	
27716				    9.5	
27727				    9.4	
27738				    9.6	
27749				    9.6	
27760				    9.9	
27772				    10.3	
27783				    10.3	
27794				    10.0	
27805				    10.2	
27817				    10.2	
27828				    10.2	
27839				    10.3	
27850				    10.5	
27861				    10.5	
27872				    10.5	
27884				    10.6	
27895				    10.9	
27906				    11.0	
27917				    11.0	
27928				    10.9	
27939				    10.7	
27951				    10.7	
27962				    10.7	
27973				    10.8	
27984				    10.8	
27995				    10.7	
28007				    10.7	
28018				    10.5	
28029				    10.9	
28040				    11.0	
28051				    11.0	
28063				    11.0	
28074				    11.0	
28085				    11.0	
28096				    10.9	
28107				    10.9	
28119				    10.9	
28130				    10.9	
28141				    10.6	
28152				    10.7	
28163				    10.7	
28174				    10.7	
28186				    10.7	
28197				    10.7	
28208				    10.6	
28219				    10.5	
28230				    10.5	
28241				    10.4	
28253				    10.4	
28264				    10.4	
28275				    10.6	
28286				    11.7	
28297				    12.2	
28308				    12.2	
28320				    12.4	
28331				    12.4	
28342				    13.0	
28354				    13.5	
28365				    13.5	
28376				    14.6	
28388				    14.6	
28399				    14.6	
28410				    14.6	
28421				    16.6	
28432				    16.6	
28444				    16.6	
28455				    17.6	
28466				    17.6	
28477				    18.1	
28489				    18.3	
28500				    19.0	
28512				    19.0	
28523				    20.4	
28534				    20.4	
28545				    20.6	
