0				    1
12				    1
24				    1
36				    1
48				    1
59				    1
72				    2.0	
83				    2.0	
95				    2.2	
107				    2.2	
118				    2.3	
130				    3.6	
142				    3.6	
154				    3.7	
166				    4.2	
178				    4.2	
190				    4.3	
202				    4.6	
213				    4.6	
225				    5.4	
237				    6.3	
249				    6.6	
261				    6.6	
273				    6.5	
285				    6.5	
296				    5.8	
309				    5.8	
320				    5.8	
332				    5.9	
344				    5.9	
356				    5.9	
368				    6.3	
381				    6.4	
393				    7.1	
404				    7.1	
416				    7.1	
428				    7.6	
440				    8.0	
452				    8.0	
464				    8.7	
475				    8.8	
487				    8.8	
499				    8.8	
510				    9.1	
522				    9.1	
534				    9.1	
546				    8.9	
558				    8.5	
570				    8.5	
581				    8.5	
593				    8.5	
605				    8.5	
617				    7.8	
628				    7.7	
640				    7.5	
652				    7.3	
664				    7.2	
676				    7.1	
688				    7.1	
700				    7.0	
712				    6.8	
724				    6.8	
736				    6.6	
747				    6.6	
759				    6.6	
771				    6.7	
783				    6.7	
794				    6.8	
806				    6.9	
818				    7.0	
830				    7.0	
842				    7.0	
854				    7.1	
865				    7.1	
877				    7.0	
889				    7.0	
901				    7.0	
913				    7.0	
924				    7.0	
936				    6.9	
948				    6.9	
960				    6.9	
972				    6.9	
983				    6.9	
995				    6.8	
1007				    6.8	
1019				    6.5	
1031				    6.4	
1043				    6.4	
1054				    6.5	
1066				    6.5	
1078				    6.5	
1090				    6.8	
1102				    7.3	
1114				    7.4	
1125				    7.6	
1137				    7.6	
1150				    7.7	
1162				    7.7	
1173				    7.7	
1185				    7.7	
1197				    7.7	
1209				    7.7	
1221				    7.6	
1232				    7.6	
1244				    7.6	
1256				    7.5	
1268				    7.6	
1280				    7.6	
1291				    7.5	
1303				    7.5	
1315				    7.5	
1327				    7.5	
1339				    7.5	
1350				    7.5	
1363				    7.5	
1374				    7.5	
1386				    7.4	
1398				    7.4	
1410				    7.4	
1422				    7.3	
1434				    7.3	
1445				    7.3	
1457				    7.2	
1470				    7.2	
1481				    7.2	
1493				    7.1	
1504				    7.1	
1516				    7.2	
1527				    7.3	
1539				    7.3	
1550				    7.4	
1562				    7.4	
1573				    7.6	
1585				    7.7	
1596				    7.7	
1608				    7.7	
1620				    7.7	
1631				    7.7	
1643				    7.7	
1654				    7.7	
1666				    7.7	
1678				    7.7	
1689				    7.7	
1701				    7.7	
1712				    7.7	
1724				    7.7	
1735				    7.5	
1747				    7.5	
1758				    7.4	
1770				    7.2	
1781				    7.2	
1793				    7.2	
1804				    7.2	
1816				    7.1	
1828				    7.1	
1839				    7.1	
1850				    6.9	
1862				    6.8	
1874				    6.8	
1885				    6.8	
1897				    6.8	
1908				    6.8	
1920				    6.8	
1932				    6.8	
1943				    6.6	
1955				    6.6	
1966				    6.5	
1978				    6.5	
1989				    6.5	
2001				    6.6	
2012				    6.6	
2024				    6.6	
2035				    6.6	
2046				    6.6	
2058				    6.6	
2070				    6.6	
2081				    6.7	
2093				    6.7	
2104				    6.7	
2116				    6.8	
2128				    6.8	
2139				    6.8	
2150				    6.8	
2162				    6.9	
2174				    6.9	
2185				    6.9	
2196				    7.0	
2208				    7.0	
2219				    7.0	
2231				    7.0	
2242				    7.0	
2254				    7.2	
2265				    7.2	
2277				    7.3	
2289				    7.3	
2300				    7.3	
2311				    7.4	
2323				    7.4	
2335				    7.4	
2346				    7.4	
2358				    7.5	
2369				    7.5	
2381				    7.6	
2392				    7.6	
2404				    7.7	
2415				    7.7	
2427				    7.7	
