6894				    1
6906				    1
6917				    1
6928				    3.5	
6940				    3.5	
6951				    3.5	
6962				    3.5	
6974				    3.5	
6985				    3.5	
6997				    3.5	
7008				    3.9	
7020				    5.2	
7031				    5.2	
7043				    5.2	
7054				    5.2	
7067				    5.2	
7078				    5.2	
7090				    5.2	
7102				    8.6	
7113				    9.8	
7125				    9.8	
7136				    9.8	
7147				    9.8	
7159				    9.8	
7170				    9.8	
7182				    12.4	
7193				    15.4	
7205				    15.9	
7216				    18.5	
7227				    18.5	
7239				    18.5	
7250				    18.5	
7261				    18.5	
7273				    20.0	
7284				    20.1	
7296				    24.9	
7307				    25.8	
7318				    25.6	
7330				    29.2	
7341				    29.0	
7353				    29.0	
7364				    29.0	
7376				    29.0	
7387				    29.0	
7399				    29.0	
7410				    27.5	
7421				    27.0	
7433				    32.9	
7444				    35.6	
7455				    37.0	
7467				    39.9	
7478				    43.5	
7489				    43.3	
7501				    43.3	
7512				    46.3	
7524				    46.3	
7536				    46.3	
7547				    46.3	
7559				    49.6	
7570				    49.9	
7582				    52.3	
7593				    50.4	
7604				    50.4	
