20150				    1
20161				    1
20173				    1
20184				    1
20196				    1
20207				    1
20218				    1
20230				    1
20241				    1
20253				    1
20264				    1.4	
20275				    1.4	
20287				    1.4	
20298				    1.4	
20309				    1.4	
20321				    1.4	
20332				    1.4	
20344				    1.4	
20355				    1.4	
20367				    1.4	
20378				    1.4	
20390				    1.4	
20401				    1.6	
20412				    1.6	
20424				    2.3	
20436				    2.3	
20447				    2.3	
20459				    2.3	
20470				    2.3	
20482				    2.3	
20494				    2.3	
20505				    2.3	
20517				    2.3	
20528				    2.3	
20539				    3.9	
20551				    5.3	
20562				    5.3	
20573				    5.3	
20585				    5.3	
20597				    5.3	
20608				    5.3	
20620				    5.3	
20631				    5.3	
20642				    5.3	
20654				    5.3	
20665				    5.3	
20676				    5.7	
20688				    5.8	
20699				    6.8	
20711				    6.9	
20722				    7.9	
20734				    7.9	
20745				    7.9	
20757				    7.9	
20768				    7.7	
20780				    7.7	
20791				    7.7	
20802				    7.7	
20814				    7.7	
20825				    7.7	
20837				    7.7	
20848				    8.0	
20860				    8.8	
20871				    8.9	
20882				    9.7	
20894				    10.1	
20905				    10.0	
20917				    10.7	
20928				    11.6	
20940				    11.6	
20952				    11.7	
20963				    11.8	
20974				    11.8	
20986				    11.8	
20997				    11.8	
21008				    11.8	
21020				    11.8	
21031				    11.8	
21043				    11.8	
21054				    11.8	
21065				    11.8	
21076				    11.8	
21088				    12.3	
21100				    12.3	
21111				    13.2	
21122				    13.7	
21133				    13.7	
21142				    13.7	
21150				    13.9	
21158				    13.9	
21167				    13.8	
21175				    14.3	
21184				    14.8	
21192				    14.8	
21201				    15.2	
21209				    15.2	
21217				    15.4	
21226				    15.4	
21234				    15.7	
21243				    15.7	
21251				    15.7	
21260				    15.6	
21268				    15.2	
21276				    15.5	
21285				    15.8	
21293				    15.8	
21301				    15.8	
21310				    15.8	
21319				    15.6	
21327				    15.6	
21335				    15.5	
21344				    15.3	
21352				    15.3	
21361				    15.3	
21369				    15.3	
21377				    15.2	
21386				    15.2	
21396				    15.2	
21407				    15.2	
21417				    15.2	
21428				    15.2	
21438				    15.2	
21449				    15.2	
21460				    15.2	
21472				    14.7	
21484				    14.7	
21495				    14.7	
21507				    15.1	
21518				    15.1	
21529				    15.0	
21541				    14.8	
21552				    14.6	
21564				    14.6	
21575				    14.6	
21587				    14.9	
21598				    14.9	
21610				    14.7	
21621				    15.0	
21633				    15.0	
21644				    15.9	
21656				    16.0	
21667				    15.8	
21679				    15.8	
21690				    16.1	
21702				    16.4	
21713				    16.4	
21724				    16.4	
21736				    16.2	
