3454				    1
3465				    1
3476				    1
3487				    1
3498				    1
3509				    1
3520				    1
3531				    1
3542				    2.3	
3553				    2.3	
3564				    2.3	
3575				    2.3	
3586				    2.3	
3597				    2.3	
3608				    4.8	
3619				    4.8	
3630				    4.8	
3641				    5.2	
3652				    5.2	
3663				    5.2	
3674				    5.2	
3685				    5.2	
3696				    5.2	
3707				    5.2	
3718				    5.2	
3729				    5.2	
3740				    5.2	
3751				    4.2	
3762				    4.4	
3773				    4.4	
3784				    4.3	
3795				    4.2	
3806				    4.2	
3817				    4.2	
3828				    4.0	
3839				    4.2	
3850				    4.4	
3862				    4.4	
3872				    4.4	
3883				    4.4	
3895				    4.4	
3906				    4.4	
3917				    5.3	
3928				    7.0	
3939				    7.1	
3950				    9.6	
3961				    9.6	
3972				    11.4	
3983				    13.0	
3994				    13.0	
4006				    13.0	
4017				    13.0	
4028				    13.0	
4039				    13.0	
4050				    13.0	
4061				    12.3	
4072				    12.5	
4083				    13.4	
4094				    14.7	
4104				    15.3	
4116				    15.8	
4127				    16.0	
4138				    17.9	
4149				    19.3	
4160				    19.2	
4171				    19.2	
4182				    19.2	
4193				    19.2	
4204				    19.2	
4215				    19.2	
4226				    19.2	
4237				    19.4	
4248				    21.0	
4259				    21.3	
4270				    21.4	
4281				    23.4	
4292				    23.8	
4303				    25.1	
4314				    26.4	
4325				    26.6	
4336				    26.4	
4347				    27.7	
4358				    27.5	
4369				    28.4	
4380				    30.2	
4391				    30.3	
4402				    30.3	
4413				    30.3	
4424				    30.3	
4435				    33.4	
4446				    33.5	
4458				    34.4	
4469				    38.6	
4480				    39.3	
4491				    39.2	
4502				    37.0	
4513				    35.5	
