45469				    1
45480				    1
45491				    1
45502				    1
45513				    1
45525				    1
45536				    1
45547				    2.5	
45558				    2.5	
45569				    2.5	
45580				    2.5	
45592				    2.5	
45603				    2.5	
45614				    3.1	
45625				    3.9	
45636				    3.9	
45647				    4.4	
45658				    4.4	
45670				    4.4	
45681				    4.4	
45692				    4.8	
45703				    7.2	
45715				    8.6	
45726				    9.8	
45737				    10.5	
45748				    10.5	
45759				    11.3	
45770				    11.3	
45781				    11.3	
45793				    15.6	
45804				    16.9	
45815				    17.3	
45826				    17.2	
45838				    16.4	
45849				    16.4	
45860				    16.4	
45871				    16.2	
45882				    17.8	
45893				    17.9	
45905				    17.6	
45916				    16.9	
45927				    16.9	
45938				    16.2	
45949				    14.4	
45960				    14.4	
45972				    14.1	
45983				    13.2	
45994				    13.2	
46005				    12.7	
46016				    11.9	
46027				    11.8	
46039				    11.8	
46050				    11.1	
46061				    11.0	
46072				    11.0	
46083				    10.9	
46094				    10.8	
46105				    10.8	
46116				    10.6	
46128				    10.6	
46139				    10.6	
46150				    10.5	
46161				    10.5	
46172				    10.3	
46184				    10.3	
46195				    10.3	
46206				    10.3	
46217				    10.1	
46228				    9.8	
46239				    9.8	
46251				    9.5	
46261				    9.2	
46272				    9.2	
46284				    9.1	
46295				    9.0	
46306				    8.8	
46317				    8.8	
46328				    8.8	
46339				    8.8	
46351				    8.7	
46362				    8.7	
46373				    8.7	
46384				    8.5	
46395				    8.5	
46406				    8.5	
46417				    8.6	
46429				    8.6	
46440				    8.6	
46451				    8.6	
46462				    8.6	
46473				    8.5	
46484				    8.5	
46495				    8.6	
46506				    8.7	
46517				    8.7	
46529				    8.7	
46540				    8.9	
46551				    9.0	
46562				    9.1	
46573				    9.1	
46584				    9.0	
46595				    9.1	
46607				    9.3	
46618				    9.3	
46629				    9.4	
46640				    9.4	
46651				    9.4	
46663				    9.3	
46674				    9.4	
46685				    9.4	
46696				    9.6	
46707				    9.8	
46718				    9.9	
46729				    10.1	
46740				    10.1	
46751				    10.1	
46762				    10.1	
46774				    10.3	
46785				    10.3	
46796				    10.3	
46806				    10.3	
46818				    10.4	
46829				    11.1	
46840				    11.2	
46852				    11.2	
46863				    11.2	
46874				    11.7	
46885				    11.7	
46896				    11.8	
46907				    11.7	
46918				    11.7	
46929				    11.7	
46940				    11.7	
46951				    11.7	
46963				    11.7	
46974				    11.8	
46985				    11.8	
46996				    11.9	
47007				    12.2	
47019				    12.5	
47030				    12.5	
47041				    12.5	
47052				    12.6	
47063				    12.7	
47074				    12.9	
47085				    12.9	
47097				    12.9	
47108				    13.3	
47119				    13.3	
47130				    13.3	
