19646				    1
19653				    1
19659				    1
19666				    1
19673				    1
19679				    1
19686				    1
19692				    1
19699				    1
19705				    1
19712				    1
19719				    1.4	
19726				    1.4	
19732				    1.4	
19739				    1.4	
19745				    1.4	
19752				    2.0	
19758				    3.8	
19765				    4.5	
19772				    5.5	
19779				    5.7	
19785				    5.8	
19792				    5.8	
19799				    5.8	
19805				    5.8	
19812				    6.3	
19819				    7.6	
19825				    7.6	
19832				    7.6	
19839				    7.6	
19845				    7.4	
19852				    7.2	
19858				    7.2	
19865				    6.9	
19871				    6.9	
19878				    6.9	
19885				    6.9	
19891				    6.9	
19898				    6.8	
19905				    6.9	
19911				    8.1	
19918				    8.1	
19925				    8.1	
19932				    8.2	
19939				    8.2	
19945				    8.2	
19952				    8.2	
19959				    8.3	
19966				    8.3	
19973				    8.3	
19979				    8.5	
19986				    8.5	
19992				    8.7	
19999				    8.7	
20006				    8.7	
20012				    8.7	
20018				    8.7	
20025				    8.7	
20032				    8.7	
20039				    8.7	
20045				    8.5	
20052				    8.4	
20058				    8.4	
20065				    8.4	
20072				    8.4	
20078				    8.4	
20085				    8.3	
20091				    8.5	
20098				    8.7	
20104				    8.7	
20111				    8.7	
20118				    8.6	
20125				    9.0	
20131				    9.2	
20138				    9.4	
20145				    9.4	
20151				    9.4	
20158				    9.4	
20165				    9.4	
20171				    9.0	
20178				    9.0	
20185				    9.2	
20191				    9.3	
20198				    9.4	
20204				    9.4	
20211				    9.4	
20217				    9.4	
20224				    9.4	
20230				    9.4	
20237				    9.4	
20243				    9.3	
20250				    9.4	
20257				    9.6	
20263				    9.7	
20270				    9.7	
20277				    9.7	
20283				    9.7	
20290				    9.9	
20297				    10.0	
20303				    10.0	
20310				    10.0	
20316				    10.1	
20323				    10.1	
20331				    10.0	
20338				    10.0	
20346				    10.1	
20354				    10.2	
20361				    10.4	
20370				    10.4	
20377				    10.4	
20385				    10.4	
20393				    10.3	
20400				    10.2	
20407				    10.2	
20415				    10.2	
20423				    10.0	
20430				    10.1	
20438				    10.1	
20445				    10.1	
20453				    10.1	
20461				    10.2	
20469				    10.2	
20476				    10.1	
20485				    10.0	
20496				    9.9	
20507				    9.9	
20519				    9.8	
20530				    9.7	
20541				    9.8	
20552				    9.9	
20563				    9.9	
20575				    9.9	
20586				    9.8	
20597				    9.8	
20608				    9.7	
20620				    9.5	
20631				    9.5	
20643				    9.5	
20654				    9.4	
20665				    9.5	
20676				    9.5	
20687				    9.4	
20698				    9.4	
20710				    9.3	
20721				    9.4	
20732				    9.4	
20743				    9.5	
20754				    9.5	
20766				    9.6	
20777				    9.6	
20788				    9.6	
20799				    9.7	
20810				    9.7	
20822				    9.6	
20833				    9.6	
20844				    9.6	
20855				    9.8	
20866				    9.8	
20878				    9.9	
20889				    10.0	
20900				    10.0	
20911				    10.0	
20922				    10.0	
20934				    10.0	
20944				    10.0	
20956				    10.1	
20967				    10.1	
20978				    10.2	
20989				    10.3	
21000				    10.3	
21012				    10.1	
21023				    10.1	
21034				    9.9	
21045				    9.8	
21056				    9.8	
21067				    9.8	
21079				    9.7	
21090				    9.7	
21101				    9.6	
21113				    9.6	
21124				    9.5	
21135				    9.5	
21146				    9.7	
21158				    9.7	
21169				    9.6	
21181				    9.6	
21192				    9.6	
21204				    9.6	
21215				    9.6	
21227				    9.6	
21238				    9.8	
21249				    9.9	
21260				    9.9	
21272				    9.9	
21284				    9.8	
21295				    9.8	
21306				    9.9	
21317				    10.0	
21328				    9.9	
21339				    10.0	
21351				    10.0	
21362				    10.0	
21373				    10.0	
21385				    10.0	
21396				    9.9	
21407				    10.0	
21418				    10.0	
21429				    10.1	
21440				    10.1	
21451				    10.3	
21463				    10.4	
21474				    10.4	
21485				    10.4	
21496				    10.5	
