28249				    1
28260				    1
28271				    1
28283				    1
28294				    1
28306				    1
28317				    1
28328				    1
28340				    1
28351				    1.6	
28363				    1.6	
28374				    1.7	
28386				    1.7	
28397				    1.7	
28408				    1.7	
28419				    1.7	
28431				    1.7	
28442				    1.7	
28453				    1.9	
28465				    1.9	
28476				    3.0	
28487				    3.0	
28499				    3.1	
28510				    3.1	
28521				    3.1	
28533				    3.1	
28544				    3.1	
28555				    3.1	
28567				    3.4	
28578				    3.6	
28589				    4.7	
28601				    6.1	
28612				    6.2	
28623				    6.6	
28635				    6.6	
28646				    6.6	
28658				    6.6	
28669				    6.6	
28680				    6.6	
28692				    6.6	
28703				    6.5	
28714				    6.8	
28726				    6.8	
28737				    7.9	
28748				    9.5	
28760				    9.5	
28771				    10.2	
28782				    10.2	
28794				    10.2	
28805				    10.2	
28816				    10.2	
28827				    10.2	
28839				    10.2	
28850				    11.1	
28862				    11.4	
28873				    11.4	
28884				    11.4	
28895				    12.0	
28907				    12.0	
28918				    11.5	
28930				    12.2	
28941				    12.3	
28952				    12.3	
28963				    14.2	
28975				    14.4	
28986				    14.4	
28997				    14.4	
29009				    14.4	
29020				    14.4	
29031				    14.4	
29043				    13.9	
29054				    13.9	
29065				    14.3	
29077				    14.7	
29088				    14.7	
29100				    14.7	
29111				    15.6	
29123				    15.6	
29134				    15.5	
29145				    16.4	
29157				    16.5	
29168				    16.9	
29180				    17.0	
29191				    16.8	
29202				    16.8	
29214				    16.7	
29225				    18.5	
29236				    18.6	
29248				    18.6	
29259				    18.5	
29270				    18.3	
29282				    18.3	
29293				    18.2	
29304				    18.2	
29316				    18.2	
29327				    18.3	
29339				    18.3	
29350				    18.3	
29361				    18.3	
29372				    18.3	
29384				    18.1	
29395				    18.1	
29407				    18.1	
29418				    18.0	
29430				    18.1	
29441				    18.1	
29453				    17.9	
29464				    17.5	
29476				    17.6	
29487				    17.5	
29498				    17.5	
29510				    17.4	
29521				    17.1	
29532				    16.9	
29544				    16.7	
29555				    16.7	
29566				    16.3	
29578				    16.1	
29589				    16.1	
29601				    16.0	
29612				    16.0	
29623				    15.7	
29635				    15.7	
29646				    15.7	
29657				    15.4	
29669				    15.4	
29680				    15.7	
29691				    16.0	
29703				    16.0	
