12893				    1
12904				    1
12916				    1
12927				    1
12939				    1
12950				    1
12961				    1
12973				    1
12984				    1
12995				    1
13007				    1
13018				    1.6	
13031				    1.6	
13043				    1.6	
13054				    1.6	
13066				    1.6	
13077				    1.6	
13088				    1.6	
13100				    1.6	
13111				    1.6	
13123				    1.9	
13134				    1.9	
13145				    2.6	
13157				    3.2	
13168				    3.2	
13180				    3.2	
13191				    3.2	
13202				    3.2	
13214				    3.2	
13225				    3.2	
13236				    3.2	
13248				    3.3	
13259				    4.3	
13271				    4.3	
13282				    5.3	
13293				    6.2	
13304				    6.3	
13316				    6.3	
13327				    6.3	
13339				    6.3	
13350				    6.3	
13362				    6.3	
13373				    6.3	
13384				    6.3	
13396				    6.3	
13407				    7.8	
13419				    7.9	
13430				    8.6	
13441				    8.6	
13452				    10.1	
13464				    10.3	
13475				    10.3	
13487				    10.2	
13498				    10.2	
13510				    10.2	
13521				    10.2	
13532				    10.2	
13544				    10.2	
13555				    10.2	
13567				    10.4	
13579				    10.5	
13590				    10.3	
13602				    10.3	
13613				    10.0	
13624				    9.8	
13636				    9.7	
13648				    9.8	
13659				    9.8	
13671				    9.7	
13682				    10.4	
13694				    10.4	
13705				    10.4	
13717				    11.1	
13728				    11.4	
13740				    11.8	
13752				    11.8	
13763				    11.8	
13774				    12.0	
13785				    12.0	
13797				    12.0	
13808				    11.9	
13820				    11.9	
13831				    11.9	
13843				    12.6	
13854				    14.0	
13865				    14.1	
13877				    15.0	
13888				    15.3	
13900				    15.3	
13911				    16.3	
13923				    16.4	
13934				    17.3	
13945				    17.3	
13957				    17.5	
13968				    17.3	
13980				    17.2	
13991				    16.9	
14003				    17.0	
14014				    17.5	
14026				    17.5	
14037				    17.5	
14048				    17.4	
14060				    17.2	
14071				    17.1	
14083				    17.3	
14094				    17.4	
14105				    17.3	
14117				    17.4	
14128				    17.3	
14140				    17.3	
14151				    17.1	
14163				    17.1	
14174				    17.1	
14185				    17.0	
14197				    17.0	
14208				    16.9	
14220				    16.7	
14231				    16.7	
14243				    16.7	
14254				    16.3	
14266				    16.3	
14277				    16.1	
14289				    16.1	
14300				    16.1	
14312				    15.4	
14323				    15.0	
14334				    14.9	
14346				    14.5	
14357				    14.4	
14369				    14.3	
14380				    14.1	
14392				    14.0	
14403				    14.4	
14414				    14.4	
14426				    14.3	
14437				    14.2	
14448				    14.6	
14460				    14.6	
14471				    14.6	
14483				    14.6	
