7826				    3.2	
7837				    3.2	
7849				    3.2	
7860				    4.6	
7871				    5.8	
7882				    6.7	
7892				    10.1	
7904				    11.0	
7915				    12.7	
7925				    16.8	
7937				    21.0	
7948				    25.6	
7959				    33.0	
7970				    33.7	
7981				    40.8	
7992				    53.8	
8003				    53.2	
8014				    58.8	
8025				    58.6	
8036				    66.4	
8047				    70.8	
8058				    65.5	
8069				    67.9	
8080				    66.1	
8092				    65.2	
8103				    65.3	
8114				    67.0	
8125				    64.5	
8137				    64.7	
8148				    62.0	
8159				    60.8	
8169				    66.2	
8180				    66.9	
8191				    69.6	
8203				    68.8	
